bay,species,year,pred_total,obs_total,pred_mean,obs_mean,pred_median,obs_median,n,month
AP,Cynoscion nebulosus_A,2013.0,35.7163253126253,77.00000085872364,0.02156782929506359,0.04649758505961572,4.0833638195181265e-06,0.0,1656,
AP,Cynoscion nebulosus_A,2014.0,15.82245987074677,99.00000245167513,0.009554625525813267,0.059782610176132324,1.5189907998092167e-07,0.0,1656,
AP,Cynoscion nebulosus_A,2015.0,10.169159551809805,44.00000023239265,0.006140796830803022,0.02657004844951247,3.851077110539336e-07,0.0,1656,
AP,Cynoscion nebulosus_A,2016.0,11.500394187136646,41.00000109343364,0.006944682480154979,0.024758454766566206,1.7326343026979885e-07,0.0,1656,
AP,Cynoscion nebulosus_A,2017.0,4.909178701773026,70.00000063363022,0.002964479892375016,0.04227053178359313,2.139751043017668e-08,0.0,1656,
AP,Cynoscion nebulosus_A,2018.0,12.629627252956492,101.00000332736538,0.00762658650540851,0.06099034017352982,1.3699616374651669e-07,0.0,1656,
AP,Cynoscion nebulosus_A,2019.0,4.957840860780741,110.00000330559064,0.0029938652540946503,0.06642512276907647,2.0478811393331853e-06,0.0,1656,
AP,Cynoscion nebulosus_A,,15.33021319698752,169.00000587105404,0.01110885014274458,0.12246377237032902,8.033102574245277e-07,0.0,1380,1.0
AP,Cynoscion nebulosus_A,,8.377810858164903,69.00000133094866,0.006070877433452828,0.05000000096445555,1.2122703196837392e-06,0.0,1380,2.0
AP,Cynoscion nebulosus_A,,5.794155120611297,42.000000847615084,0.004198663130877751,0.030434783222909483,2.5106453449552646e-07,0.0,1380,3.0
AP,Cynoscion nebulosus_A,,16.626310148335484,86.00000188914886,0.012048050832127163,0.062318841948658596,1.4233352203518734e-06,0.0,1380,4.0
AP,Cynoscion nebulosus_A,,5.588324873278761,23.000000746401312,0.004049510777738233,0.01666666720753718,2.716355282927907e-07,0.0,1380,5.0
AP,Cynoscion nebulosus_A,,9.681091974346153,57.0000013771544,0.00701528403938127,0.04130434882402492,6.331001145554183e-07,0.0,1380,6.0
AP,Cynoscion nebulosus_A,,10.64036990293918,68.00000169690875,0.007710412973144332,0.04927536354848461,1.8391637581771647e-06,0.0,1380,7.0
AP,Cynoscion nebulosus_A,,16.683413430714378,65.00000084965833,0.012089430022256795,0.04710144989105677,1.5310642993426882e-06,0.0,1380,8.0
